EID,key,direction,time
0,t,0,1495207270958
1,t,1,1495207271103
2,y,0,1495207271104
3,y,1,1495207271125
4,g,0,1495207271125
5,g,1,1495207271174
6,h,0,1495207271175
7,h,1,1495207271257
8,j,0,1495207271257
9,j,1,1495207271272
10,i,0,1495207271273
11,i,1,1495207271393
12,u,0,1495207271393
13,u,1,1495207271424
14,y,0,1495207271424
15,y,1,1495207271454
16,t,0,1495207271454
17,t,1,1495207271471
18,r,0,1495207271471
19,r,1,1495207271487
20,e,0,1495207271488
21,e,1,1495207271504
22,s,0,1495207271504
23,s,1,1495207271539
24,a,0,1495207271539
25,a,1,1495207271622
26,BACKSPACE,0,1495207272504
27,BACKSPACE,1,1495207272589
28,t,0,1495207273107
29,t,1,1495207273313
30,y,0,1495207273314
31,y,1,1495207273337
32,g,0,1495207273337
33,g,1,1495207273801
34,BACKSPACE,0,1495207274590
35,BACKSPACE,1,1495207274637
36,t,0,1495207276114
37,t,1,1495207276223
38,h,0,1495207276388
39,h,1,1495207276485
40,i,0,1495207276627
41,i,1,1495207276736
42,s,0,1495207276761
43,s,1,1495207276902
44,SPACE,0,1495207277009
45,SPACE,1,1495207277061
46,i,0,1495207277538
47,i,1,1495207277646
48,s,0,1495207277739
49,s,1,1495207277881
50,SPACE,0,1495207277904
51,SPACE,1,1495207277993
52,a,0,1495207278110
53,a,1,1495207278207
54,SPACE,0,1495207278266
55,SPACE,1,1495207278339
56,t,0,1495207278748
57,t,1,1495207278844
58,e,0,1495207278856
59,e,1,1495207278927
60,s,0,1495207279034
61,s,1,1495207279143
62,t,0,1495207279161
63,t,1,1495207279250
64,SPACE,0,1495207279452
65,SPACE,1,1495207279526
66,t,0,1495207279679
67,t,1,1495207279801
68,o,0,1495207279874
69,o,1,1495207279980
70,SPACE,0,1495207280338
71,SPACE,1,1495207280412
72,s,0,1495207280577
73,s,1,1495207280686
74,e,0,1495207280876
75,e,1,1495207280985
76,e,0,1495207281044
77,e,1,1495207281141
78,SPACE,0,1495207281224
79,SPACE,1,1495207281309
80,i,0,1495207281640
81,i,1,1495207281767
82,f,0,1495207281818
83,f,1,1495207281935
84,SPACE,0,1495207282029
85,SPACE,1,1495207282091
86,t,0,1495207282331
87,t,1,1495207282401
88,h,0,1495207282521
89,h,1,1495207282617
90,e,0,1495207282617
91,e,1,1495207282734
92,SPACE,0,1495207282819
93,SPACE,1,1495207282929
94,w,0,1495207283176
95,w,1,1495207283292
96,o,0,1495207283340
97,o,1,1495207283454
98,r,0,1495207283560
99,r,1,1495207283663
100,d,0,1495207283813
101,d,1,1495207283883
102,s,0,1495207284022
103,s,1,1495207284131
104,SPACE,0,1495207286247
105,SPACE,1,1495207286369
106,t,0,1495207288337
107,t,1,1495207288434
108,h,0,1495207288552
109,h,1,1495207288673
110,a,0,1495207288692
111,a,1,1495207288804
112,t,0,1495207288829
113,t,1,1495207288924
114,SPACE,0,1495207289150
115,SPACE,1,1495207289247
116,o,0,1495207289785
117,o,1,1495207289893
118,SPACE,0,1495207290047
119,SPACE,1,1495207290168
120,t,0,1495207290202
121,t,1,1495207290346
122,u,0,1495207290406
123,u,1,1495207290502
124,p,0,1495207290620
125,p,1,1495207290744
126,e,0,1495207290763
127,e,1,1495207290873
128,BACKSPACE,0,1495207291508
129,BACKSPACE,1,1495207291617
130,BACKSPACE,0,1495207291702
131,BACKSPACE,1,1495207291772
132,BACKSPACE,0,1495207291856
133,BACKSPACE,1,1495207291929
134,BACKSPACE,0,1495207292083
135,BACKSPACE,1,1495207292179
136,BACKSPACE,0,1495207292227
137,BACKSPACE,1,1495207292324
138,BACKSPACE,0,1495207292393
139,BACKSPACE,1,1495207292454
140,i,0,1495207293050
141,i,1,1495207293135
142,SPACE,0,1495207293397
143,SPACE,1,1495207293483
144,t,0,1495207293958
145,t,1,1495207294101
146,y,0,1495207294173
147,y,1,1495207294294
148,p,0,1495207294423
149,p,1,1495207294533
150,e,0,1495207294564
151,e,1,1495207294676
152,SPACE,0,1495207294806
153,SPACE,1,1495207294894
154,a,0,1495207296051
155,a,1,1495207296204
156,r,0,1495207296247
157,r,1,1495207296350
158,e,0,1495207296458
159,e,1,1495207296541
160,SPACE,0,1495207296767
161,SPACE,1,1495207296877
162,u,0,1495207297194
163,u,1,1495207297291
164,n,0,1495207297446
165,n,1,1495207297555
166,i,0,1495207297721
167,i,1,1495207297830
168,q,0,1495207297923
169,q,1,1495207298045
170,u,0,1495207298119
171,u,1,1495207298225
172,e,0,1495207298332
173,e,1,1495207298440
174,SPACE,0,1495207298498
175,SPACE,1,1495207298620
176,t,0,1495207299395
177,t,1,1495207299527
178,o,0,1495207299585
179,o,1,1495207299695
180,SPACE,0,1495207299933
181,SPACE,1,1495207300019
182,e,0,1495207300304
183,e,1,1495207300425
184,l,0,1495207300943
185,l,1,1495207301052
186,m,0,1495207301230
187,m,1,1495207301339
188,e,0,1495207301375
189,e,1,1495207301459
190,BACKSPACE,0,1495207301955
191,BACKSPACE,1,1495207302039
192,BACKSPACE,0,1495207302123
193,BACKSPACE,1,1495207302219
194,BACKSPACE,0,1495207302291
195,BACKSPACE,1,1495207302511
196,BACKSPACE,0,1495207302780
197,BACKSPACE,1,1495207302890
198,m,0,1495207303338
199,m,1,1495207303446
200,e,0,1495207303556
201,e,1,1495207303695
202,.,0,1495207304242
203,.,1,1495207304354
204,SPACE,0,1495207304554
205,SPACE,1,1495207304650
206,t,0,1495207305299
207,t,1,1495207305372
208,h,0,1495207305494
209,h,1,1495207305611
210,e,0,1495207305670
211,e,1,1495207305825
212,r,0,1495207305826
213,r,1,1495207305899
214,e,0,1495207305956
215,e,1,1495207306081
216,SPACE,0,1495207306172
217,SPACE,1,1495207306283
218,a,0,1495207306459
219,a,1,1495207306581
220,r,0,1495207306675
221,r,1,1495207306748
222,e,0,1495207306867
223,e,1,1495207306939
224,SPACE,0,1495207307179
225,SPACE,1,1495207307289
226,t,0,1495207307785
227,t,1,1495207307907
228,w,0,1495207307978
229,o,0,1495207308084
230,w,1,1495207308100
231,o,1,1495207308184
232,SPACE,0,1495207308419
233,SPACE,1,1495207308506
234,s,0,1495207308853
235,s,1,1495207308962
236,e,0,1495207309056
237,e,1,1495207309165
238,n,0,1495207309201
239,n,1,1495207309321
240,t,0,1495207309392
241,t,1,1495207309478
242,r,0,1495207309478
243,r,1,1495207309490
244,e,0,1495207309597
245,e,1,1495207309692
246,n,0,1495207309728
247,n,1,1495207309836
248,BACKSPACE,0,1495207310602
249,BACKSPACE,1,1495207310722
250,BACKSPACE,0,1495207310781
251,BACKSPACE,1,1495207310889
252,BACKSPACE,0,1495207310960
253,BACKSPACE,1,1495207311216
254,t,0,1495207311930
255,t,1,1495207312040
256,e,0,1495207312205
257,e,1,1495207312291
258,m,0,1495207312373
259,m,1,1495207312492
260,c,0,1495207312687
261,c,1,1495207312771
262,e,0,1495207312793
