EID,key,direction,time
0,t,0,1494352230103
1,t,1,1494352230222
2,h,0,1494352230336
3,h,1,1494352230417
4,i,0,1494352230508
5,i,1,1494352230614
6,s,0,1494352230787
7,s,1,1494352230880
8,SPACE,0,1494352231499
9,SPACE,1,1494352231595
10,i,0,1494352231943
11,i,1,1494352232058
12,s,0,1494352232069
13,s,1,1494352232167
14,SPACE,0,1494352232359
15,SPACE,1,1494352232466
16,a,0,1494352232731
17,a,1,1494352232836
18,SPACE,0,1494352232974
19,SPACE,1,1494352233058
20,t,0,1494352233263
21,t,1,1494352233334
22,e,0,1494352233484
23,e,1,1494352233589
24,s,0,1494352233716
25,s,1,1494352233797
26,t,0,1494352233994
27,t,1,1494352234076
28,SPACE,0,1494352234927
29,SPACE,1,1494352235010
30,t,0,1494352235204
31,t,1,1494352235263
32,o,0,1494352235413
33,o,1,1494352235507
34,SPACE,0,1494352235528
35,SPACE,1,1494352235623
36,s,0,1494352235807
37,s,1,1494352235912
38,e,0,1494352236040
39,e,1,1494352236144
40,e,0,1494352236204
41,e,1,1494352236294
42,SPACE,0,1494352236572
43,SPACE,1,1494352236667
44,i,0,1494352236886
45,i,1,1494352236990
46,f,0,1494352237070
47,f,1,1494352237152
48,v,0,1494352237302
49,v,1,1494352237360
50,t,0,1494352237545
51,t,1,1494352237593
52,h,0,1494352237720
53,h,1,1494352237802
54,e,0,1494352238032
55,e,1,1494352238115
56,p,0,1494352238565
57,p,1,1494352238693
58,BACKSPACE,0,1494352239310
59,BACKSPACE,1,1494352239415
60,BACKSPACE,0,1494352239496
61,BACKSPACE,1,1494352239589
62,BACKSPACE,0,1494352239657
63,BACKSPACE,1,1494352239763
64,BACKSPACE,0,1494352239819
65,BACKSPACE,1,1494352239937
66,BACKSPACE,0,1494352239994
67,BACKSPACE,1,1494352240099
68,SPACE,0,1494352240570
69,SPACE,1,1494352240653
70,t,0,1494352240825
71,t,1,1494352240907
72,h,0,1494352241014
73,h,1,1494352241092
74,e,0,1494352241230
75,e,1,1494352241312
76,SPACE,0,1494352241462
77,SPACE,1,1494352241557
78,w,0,1494352242999
79,w,1,1494352243105
80,o,0,1494352243485
81,o,1,1494352243556
82,r,0,1494352243821
83,r,1,1494352243915
84,d,0,1494352244194
85,d,1,1494352244297
86,s,0,1494352244448
87,s,1,1494352244568
88,SPACE,0,1494352244803
89,SPACE,1,1494352244899
90,t,0,1494352245541
91,t,1,1494352245624
92,h,0,1494352245733
93,h,1,1494352245801
94,a,0,1494352246047
95,a,1,1494352246154
96,t,0,1494352246354
97,t,1,1494352246437
98,SPACE,0,1494352246695
99,SPACE,1,1494352246804
100,i,0,1494352247178
