EID,key,direction,time
0,t,0,1494932219002
1,t,1,1494932219565
2,h,0,1494932220431
3,h,1,1494932220516
4,i,0,1494932220752
5,i,1,1494932220809
6,s,0,1494932220969
7,s,1,1494932221066
8,SPACE,0,1494932221130
9,SPACE,1,1494932221175
10,i,0,1494932227227
11,i,1,1494932227284
12,s,0,1494932227419
13,s,1,1494932227516
14,SPACE,0,1494932227564
15,SPACE,1,1494932227628
16,a,0,1494932227764
17,a,1,1494932227871
18,SPACE,0,1494932227889
19,SPACE,1,1494932227946
20,t,0,1494932228663
21,t,1,1494932228712
22,e,0,1494932228945
23,e,1,1494932229026
24,s,0,1494932229186
25,s,1,1494932229267
26,t,0,1494932229523
27,t,1,1494932229580
28,SPACE,0,1494932229772
29,SPACE,1,1494932229886
30,t,0,1494932230811
31,t,1,1494932230867
32,o,0,1494932230923
33,o,1,1494932230988
34,SPACE,0,1494932231367
35,SPACE,1,1494932231392
36,s,0,1494932231713
37,s,1,1494932231819
38,e,0,1494932231970
39,e,1,1494932232052
40,e,0,1494932232139
41,e,1,1494932232235
42,SPACE,0,1494932232255
43,SPACE,1,1494932232359
44,i,0,1494932233248
45,i,1,1494932233313
46,f,0,1494932233465
47,f,1,1494932233505
48,SPACE,0,1494932233642
49,SPACE,1,1494932233724
50,t,0,1494932233859
51,t,1,1494932233964
52,h,0,1494932234011
53,h,1,1494932234101
54,r,0,1494932234220
55,r,1,1494932234294
56,SPACE,0,1494932234365
57,SPACE,1,1494932234465
58,BACKSPACE,0,1494932237167
59,BACKSPACE,1,1494932237225
60,BACKSPACE,0,1494932237351
61,BACKSPACE,1,1494932237392
62,e,0,1494932238385
63,e,1,1494932238466
64,SPACE,0,1494932238586
65,SPACE,1,1494932238646
66,w,0,1494932239176
67,w,1,1494932239287
68,o,0,1494932239512
69,o,1,1494932239585
70,r,0,1494932239744
71,r,1,1494932239834
72,d,0,1494932240116
73,d,1,1494932240213
74,s,0,1494932240325
75,s,1,1494932240446
76,SPACE,0,1494932241281
77,SPACE,1,1494932241349
78,t,0,1494932242429
79,t,1,1494932242502
80,h,0,1494932242614
81,h,1,1494932242702
82,a,0,1494932242758
83,a,1,1494932242862
84,a,1,1494932242863
85,s,0,1494932242863
86,s,1,1494932242865
87,t,0,1494932243449
88,t,1,1494932243515
89,SPACE,0,1494932243594
90,SPACE,1,1494932243650
91,BACKSPACE,0,1494932245597
92,BACKSPACE,1,1494932245663
93,BACKSPACE,0,1494932245758
94,BACKSPACE,1,1494932245839
95,BACKSPACE,0,1494932246181
96,BACKSPACE,1,1494932246235
97,t,0,1494932246980
98,t,1,1494932247059
99,SPACE,0,1494932247147
100,SPACE,1,1494932247238
101,i,0,1494932250290
102,i,1,1494932250355
103,SPACE,0,1494932250563
104,SPACE,1,1494932250662
105,t,0,1494932251393
106,t,1,1494932251498
107,y,0,1494932251618
108,y,1,1494932251692
109,p,0,1494932251875
110,p,1,1494932251948
111,r,0,1494932252012
112,r,1,1494932252133
113,SPACE,0,1494932252245
114,SPACE,1,1494932252302
115,BACKSPACE,0,1494932253803
116,BACKSPACE,1,1494932253884
117,BACKSPACE,0,1494932253955
118,BACKSPACE,1,1494932254044
119,e,0,1494932254148
120,e,1,1494932254245
121,SPACE,0,1494932254397
122,SPACE,1,1494932254483
123,a,0,1494932255709
124,a,1,1494932255830
125,r,0,1494932256152
126,r,1,1494932256241
127,e,0,1494932256377
128,e,1,1494932256458
129,SPACE,0,1494932256586
130,SPACE,1,1494932256663
131,u,0,1494932257199
132,u,1,1494932257280
133,n,0,1494932257512
134,n,1,1494932257601
135,i,0,1494932257858
136,i,1,1494932257899
137,q,0,1494932258228
138,q,1,1494932258341
139,u,0,1494932258776
140,u,1,1494932258832
141,e,0,1494932258961
142,e,1,1494932259082
143,SPACE,0,1494932259178
144,SPACE,1,1494932259254
145,t,0,1494932259928
146,t,1,1494932260048
147,o,0,1494932260081
148,o,1,1494932260161
149,SPACE,0,1494932260747
150,SPACE,1,1494932260825
151,m,0,1494932261045
152,m,1,1494932261134
153,e,0,1494932261303
154,e,1,1494932261384
155,.,0,1494932262376
156,.,1,1494932262477
157,SPACE,0,1494932262932
158,SPACE,1,1494932263005
159,t,0,1494932263391
160,t,1,1494932263522
161,h,0,1494932263540
162,h,1,1494932263586
163,e,0,1494932263697
164,e,1,1494932263810
165,r,0,1494932263914
166,r,1,1494932264003
167,e,0,1494932264123
168,e,1,1494932264203
169,SPACE,0,1494932264300
170,SPACE,1,1494932264391
171,a,0,1494932264735
172,a,1,1494932264832
173,r,0,1494932265339
174,r,1,1494932265428
175,e,0,1494932265580
176,e,1,1494932265636
177,SPACE,0,1494932265749
178,SPACE,1,1494932265831
179,t,0,1494932266901
180,t,1,1494932267007
181,w,0,1494932267337
182,w,1,1494932267410
183,o,0,1494932267658
184,o,1,1494932267716
185,SPACE,0,1494932268174
186,SPACE,1,1494932268245
187,s,0,1494932268837
188,s,1,1494932268917
189,e,0,1494932269062
190,e,1,1494932269151
191,n,0,1494932269433
192,n,1,1494932269497
193,t,0,1494932269940
194,t,1,1494932270037
195,e,0,1494932270238
196,e,1,1494932270311
197,n,0,1494932270609
198,n,1,1494932270697
199,c,0,1494932270858
200,c,1,1494932270963
201,e,0,1494932271245
202,e,1,1494932271318
203,s,0,1494932271510
204,s,1,1494932271616
205,SPACE,0,1494932271776
206,SPACE,1,1494932271827
207,i,0,1494932272580
208,i,1,1494932272645
209,n,0,1494932272927
210,n,1,1494932273000
211,SPACE,0,1494932273233
212,SPACE,1,1494932273317
213,t,0,1494932274431
214,t,1,1494932274512
215,h,0,1494932274623
216,h,1,1494932274712
217,i,0,1494932274897
218,i,1,1494932274977
219,s,0,1494932275194
220,s,1,1494932275234
221,SPACE,0,1494932275435
222,SPACE,1,1494932275518
223,d,0,1494932276543
224,d,1,1494932276632
225,a,0,1494932276930
226,a,1,1494932277043
227,t,0,1494932277260
228,t,1,1494932277349
229,a,0,1494932277452
230,a,1,1494932277558
231,SPACE,0,1494932277928
232,SPACE,1,1494932277961
233,s,0,1494932278901
234,s,1,1494932278974
235,a,0,1494932279118
236,a,1,1494932279224
237,m,0,1494932279335
238,m,1,1494932279416
239,p,0,1494932279656
240,p,1,1494932279754
241,l,0,1494932279897
242,l,1,1494932279955
243,e,0,1494932280122
244,e,1,1494932280196
245,.,0,1494932281366
246,.,1,1494932281440
247,t,0,1494932289720
248,t,1,1494932289809
249,h,0,1494932289872
250,h,1,1494932289944
251,i,0,1494932290105
252,i,1,1494932290193
253,s,0,1494932290386
254,s,1,1494932290442
255,SPACE,0,1494932290563
256,SPACE,1,1494932290630
257,i,0,1494932290868
258,i,1,1494932290949
259,s,0,1494932291077
260,s,1,1494932291174
261,SPACE,0,1494932291286
