EID,key,direction,time
0,t,0,1496845589877
1,t,1,1496845589938
2,h,0,1496845589974
3,h,1,1496845590053
4,i,0,1496845590221
5,i,1,1496845590318
6,s,0,1496845590430
7,s,1,1496845590518
8,SPACE,0,1496845591149
9,SPACE,1,1496845591199
10,i,0,1496845591804
11,i,1,1496845591854
12,s,0,1496845591972
13,s,1,1496845592061
14,SPACE,0,1496845592125
15,SPACE,1,1496845592182
16,a,0,1496845592277
17,a,1,1496845592359
18,SPACE,0,1496845592372
19,SPACE,1,1496845592436
20,t,0,1496845593175
21,t,1,1496845593252
22,e,0,1496845593292
23,e,1,1496845593358
24,s,0,1496845593532
25,s,1,1496845593630
26,t,0,1496845593677
27,t,1,1496845593750
28,SPACE,0,1496845594014
29,SPACE,1,1496845594055
30,t,0,1496845595270
31,t,1,1496845595342
32,o,0,1496845595374
33,o,1,1496845595462
34,SPACE,0,1496845595944
35,SPACE,1,1496845596035
36,s,0,1496845596113
37,s,1,1496845596169
38,e,0,1496845596313
39,e,1,1496845596353
40,e,0,1496845596465
41,SPACE,0,1496845596514
42,e,1,1496845596540
43,SPACE,1,1496845596593
44,o,0,1496845596770
45,o,1,1496845596842
46,f,0,1496845596890
47,f,1,1496845596948
48,SPACE,0,1496845597074
49,SPACE,1,1496845597141
50,BACKSPACE,0,1496845597837
51,BACKSPACE,1,1496845597913
52,BACKSPACE,0,1496845597997
53,BACKSPACE,1,1496845598085
54,BACKSPACE,0,1496845598149
55,BACKSPACE,1,1496845598246
56,i,0,1496845599113
57,i,1,1496845599170
58,f,0,1496845599337
59,f,1,1496845599425
60,SPACE,0,1496845599489
61,SPACE,1,1496845599554
62,t,0,1496845599674
63,t,1,1496845599770
64,h,0,1496845599850
65,h,1,1496845599946
66,e,0,1496845600034
67,e,1,1496845600131
68,SPACE,0,1496845600315
69,SPACE,1,1496845600396
70,w,0,1496845601048
71,w,1,1496845601161
72,o,0,1496845601304
73,o,1,1496845601377
74,r,0,1496845601617
75,r,1,1496845601699
76,d,0,1496845601961
77,d,1,1496845602043
78,s,0,1496845602210
79,s,1,1496845602283
80,SPACE,0,1496845602354
81,SPACE,1,1496845602405
82,t,0,1496845602932
83,t,1,1496845603006
84,h,0,1496845603053
85,h,1,1496845603135
86,a,0,1496845603221
87,t,0,1496845603318
88,a,1,1496845603328
89,t,1,1496845603407
90,SPACE,0,1496845603670
91,SPACE,1,1496845603753
92,i,0,1496845604333
93,i,1,1496845604380
94,m,0,1496845604822
95,m,1,1496845604903
96,t,0,1496845605143
97,t,1,1496845605224
98,y,0,1496845605376
99,y,1,1496845605449
100,p,0,1496845605528
101,p,1,1496845605592
102,r,0,1496845605809
103,r,1,1496845605850
104,r,1,1496845605852
105,e,0,1496845605852
106,e,1,1496845605868
107,SPACE,0,1496845606113
108,SPACE,1,1496845606217
109,BACKSPACE,0,1496845607076
110,BACKSPACE,1,1496845607142
111,BACKSPACE,0,1496845607221
112,BACKSPACE,1,1496845607333
113,BACKSPACE,0,1496845607405
114,BACKSPACE,1,1496845607518
115,BACKSPACE,0,1496845607598
116,BACKSPACE,1,1496845607711
117,BACKSPACE,0,1496845607790
118,BACKSPACE,1,1496845607911
119,BACKSPACE,0,1496845608006
120,BACKSPACE,1,1496845608111
121,BACKSPACE,0,1496845608393
122,BACKSPACE,1,1496845608465
123,SPACE,0,1496845608867
124,SPACE,1,1496845608911
125,t,0,1496845609155
126,t,1,1496845609261
127,y,0,1496845609404
